trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,maximum_alpha,minimum_alpha,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,termination_reason,n_steps,duration_actual_s
altF_trainval_00000,gradual_alt_single_capped,20262817,34.53203135369698,1052.3880370337172,0.13864944717075747,0.43486998649391145,0.1166188032575767,0.3487228631008042,True,9.370000000000001,completed_normally,2001,20.0
altF_trainval_00001,gradual_alt_single_capped,20262817,43.87158332097227,530.2930934420921,0.07387333267973714,0.2404685628887053,0.05222626714518286,0.6225101603302566,False,,completed_normally,2001,20.0
altF_trainval_00002,gradual_alt_single_capped,20262817,33.78635191862988,628.4922222497179,0.14598493832702517,0.335950518377868,0.10295875291069742,0.3843966085900147,True,7.23,completed_normally,2001,20.0
altF_trainval_00003,gradual_alt_single_capped,20262817,39.49263618092982,1210.771925764128,0.09899107630250803,0.3130241905382962,0.050239445065205834,0.617892385310612,True,6.38,completed_normally,2001,20.0
altF_trainval_00004,gradual_alt_single_capped,20262817,57.742977676941365,1446.3960658288825,0.02758052315208857,0.02758052315208857,-0.10001586157502562,0.7856966233745302,False,,validity_envelope_gamma_exceeded,942,9.41
altF_trainval_00005,gradual_alt_single_capped,20262817,66.8720323693504,766.0193110550865,0.011292468073584229,0.011292468073584229,-0.08527133897522088,0.7860980180842045,False,,validity_envelope_gamma_exceeded,922,9.21
altF_trainval_00006,gradual_alt_single_capped,20262817,66.65631574418002,1067.0424768104856,0.011602824765629325,0.1332906807404982,0.011602824765629325,0.7872664900839413,False,,validity_envelope_gamma_exceeded,763,7.62
altF_trainval_00007,gradual_alt_single_capped,20262817,48.05704740283009,1087.5637728055617,0.055749793160815145,0.23415114440570514,0.04655564738090456,0.6949653842993913,False,,completed_normally,2001,20.0
altF_trainval_00008,gradual_alt_single_capped,20262817,31.32808281863748,1853.031487814543,0.17347681315262445,0.5042465573775718,0.15438213896966363,0.17269601435915868,True,7.34,completed_normally,2001,20.0
altF_trainval_00009,gradual_alt_single_capped,20262817,55.193687793544676,1773.5841699721373,0.033607350340898415,0.21318310530977097,0.03360735034074674,0.7723734932995149,False,,completed_normally,2001,20.0
