trajectory_id,split
traj_00000,train
traj_00001,train
traj_00002,train
traj_00003,train
traj_00004,train
traj_00005,train
traj_00006,train
traj_00007,train
traj_00008,test
traj_00009,train
traj_00010,train
traj_00011,train
traj_00012,train
traj_00013,train
traj_00014,test
traj_00015,train
traj_00016,train
traj_00017,train
traj_00018,test
traj_00019,train
traj_00020,train
traj_00021,train
traj_00022,val
traj_00023,train
traj_00024,train
traj_00025,train
traj_00026,val
traj_00027,train
traj_00028,train
traj_00029,train
traj_00030,train
traj_00031,train
traj_00032,train
traj_00033,train
traj_00034,train
traj_00035,train
traj_00036,val
traj_00037,train
traj_00038,val
traj_00039,train
traj_00040,train
traj_00041,val
traj_00042,val
traj_00043,train
traj_00044,train
traj_00045,test
traj_00046,train
traj_00047,train
traj_00048,train
traj_00049,train
traj_00050,train
traj_00051,test
traj_00052,train
traj_00053,train
traj_00054,train
traj_00055,train
traj_00056,train
traj_00057,train
traj_00058,train
traj_00059,train
traj_00060,train
traj_00061,test
traj_00062,test
traj_00063,train
traj_00064,train
traj_00065,train
traj_00066,train
traj_00067,train
traj_00068,val
traj_00069,train
traj_00070,train
traj_00071,train
traj_00072,train
traj_00073,val
traj_00074,val
traj_00075,val
traj_00076,train
traj_00077,train
traj_00078,train
traj_00079,val
traj_00080,train
traj_00081,val
traj_00082,train
traj_00083,train
traj_00084,train
traj_00085,train
traj_00086,train
traj_00087,train
traj_00088,train
traj_00089,test
traj_00090,train
traj_00091,train
traj_00092,test
traj_00093,train
traj_00094,train
traj_00095,val
traj_00096,val
traj_00097,train
traj_00098,test
traj_00099,train
traj_00100,train
traj_00101,train
traj_00102,train
traj_00103,train
traj_00104,test
traj_00105,test
traj_00106,train
traj_00107,val
traj_00108,train
traj_00109,train
traj_00110,train
traj_00111,test
traj_00112,train
traj_00113,train
traj_00114,train
traj_00115,train
traj_00116,train
traj_00117,test
traj_00118,train
traj_00119,test
traj_00120,train
traj_00121,train
traj_00122,train
traj_00123,val
traj_00124,train
traj_00125,train
traj_00126,train
traj_00127,train
traj_00128,train
traj_00129,train
traj_00130,train
traj_00131,train
traj_00132,train
traj_00133,train
traj_00134,test
traj_00135,train
traj_00136,train
traj_00137,train
traj_00138,train
traj_00139,train
traj_00140,train
traj_00141,train
traj_00142,train
traj_00143,train
traj_00144,train
traj_00145,train
traj_00146,train
traj_00147,train
traj_00148,train
traj_00149,train
traj_00150,train
traj_00151,train
traj_00152,train
traj_00153,val
traj_00154,train
traj_00155,train
traj_00156,train
traj_00157,train
traj_00158,test
traj_00159,test
traj_00160,test
traj_00161,val
traj_00162,train
traj_00163,train
traj_00164,train
traj_00165,train
traj_00166,train
traj_00167,test
traj_00168,val
traj_00169,train
traj_00170,train
traj_00171,val
traj_00172,test
traj_00173,test
traj_00174,train
traj_00175,train
traj_00176,val
traj_00177,train
traj_00178,val
traj_00179,train
traj_00180,val
traj_00181,val
traj_00182,train
traj_00183,train
traj_00184,test
traj_00185,train
traj_00186,test
traj_00187,train
traj_00188,val
traj_00189,train
traj_00190,train
traj_00191,val
traj_00192,test
traj_00193,val
traj_00194,train
traj_00195,test
traj_00196,train
traj_00197,test
traj_00198,train
traj_00199,val
